,Unnamed: 0,Ambient Temperatue,BearingShaftTemperature,Blade1PitchAngle,Blade2PitchAngle,Blade3PitchAngle,ControlBoxTemperature,GearboxBearingTemperature,GearboxOilTemperature,GeneratorRPM,GeneratorWinding1Temperature,GeneratorWinding2Temperature,HubTemperature,MainBoxTemperature,NacellePosition,RotorRPM,WindDirection,WindSpeed,ActivePower
92427,2019-10-03 20:30:00+00:00,26.36481829,32.62019357,1.285871445,1.670947564,1.670947564,0.0,45.18847214,49.81494786,1029.920071,48.02243271,47.44863029,31.71101571,32.98214286,335.0,9.241850142999999,335.0,3.7434141139999997,88.62582186
97623,2019-11-08 22:30:00+00:00,27.585411999999998,37.58714725,85.00009,84.99971,84.99971,0.0,48.5228975,46.74683344,0.0,45.82620778,44.76379967,37.003815,40.25758625,243.5,0.0,243.5,1.066878877,-4.532951511
80535,2019-07-13 06:30:00+00:00,32.54829856,45.09721156,-0.377267709,0.280913892,0.280913892,0.0,67.85951467,60.11545400000001,1053.131622,72.16461278,71.436691,37.996185,45.297363,347.5,9.420661222,347.5,4.836320932,264.9411071
91246,2019-09-25 15:40:00+00:00,26.709555199999997,43.4184047,-1.088936705,-0.54191336,-0.54191336,0.0,71.3394588,60.7323809,1577.86629,73.49044079999999,73.0228759,36.1033835,36.375,175.0,14.16415975,175.0,7.74334475,1282.4767650000001
1788,2019-11-23 07:50:00+00:00,27.992479499999998,39.72046913,-0.17784204,0.333756225,0.333756225,0.0,63.36539025,56.73196113,1032.795438,59.01193813,58.22613688,32.996185,38.507813,166.0,9.274412375,166.0,4.762589263,246.41792
79495,2019-07-06 01:10:00+00:00,27.063652100000002,50.001139,-1.099547578,-0.482932315,-0.482932315,0.0,75.1539671,63.5530754,1472.57342,96.0914849,95.5964226,40.002289000000005,39.8451908,342.0,13.195403,342.0,7.425099755,1033.2458980000001
79157,2019-07-03 16:50:00+00:00,30.0836633,52.2056856,-0.840145652,-0.39537249,-0.39537249,0.0,76.73355140000001,64.9039019,1630.8783,102.9357433,102.4290276,44.003815,43.006336600000004,348.0,14.6061782,348.0,7.96404968,1344.81843
88318,2019-09-05 07:40:00+00:00,32.1133812,47.393108700000006,12.31814398,12.48154957,12.48154957,0.0,81.7450246,69.9519765,1752.67069,121.95318490000001,121.30449399999999,40.9944616,45.09375,354.0,15.7262712,354.0,12.80787465,1727.8506550000002
560,2019-11-14 19:10:00+00:00,22.7448758,36.476013,85.00019,85.00005,85.00005,0.0,47.484162100000006,47.595770200000004,0.0,50.074656,49.4908984,32.006284,35.3500076,229.7777778,0.0,229.7777778,1.307194378,-8.145223322
84933,2019-08-12 19:30:00+00:00,27.1468123,50.832060799999994,-0.598242728,0.194824544,0.194824544,0.0,78.6855922,66.91186,1665.86195,112.4581872,111.8931139,42.0052805,40.8550701,351.0,14.9552356,351.0,7.81469969,1456.47309
76847,2019-06-17 15:50:00+00:00,35.33119467,43.32341544,-1.0159861,-0.6676656999999999,-0.6676656999999999,0.0,62.19248944,59.78025322,1338.375867,75.35263467,74.68610956,39.10490322,40.34657711,336.875,12.00025061,336.875,7.141760832999999,727.1601877999999
88172,2019-09-04 07:20:00+00:00,29.3929409,47.9609741,8.607513035,9.01430377,9.01430377,0.0,81.05024909999999,69.0681451,1757.20016,118.7785088,118.18994709999998,39.996185,43.1125,342.0,15.7754486,342.0,10.7963644,1718.51393
76030,2019-06-11 23:40:00+00:00,28.49469256,38.71489375,45.46006163,45.45995534,45.45995534,0.0,49.06957763,53.69762911,59.84939967,61.083045,60.51018189,35.00333813,35.32764425,302.0,0.377442733,302.0,2.230449894,-7.4274480060000005
157,2019-11-12 00:00:00+00:00,24.372711399999996,40.0981119,-0.9037139999999999,-0.4155786,-0.4155786,0.0,63.17011020000001,55.7195699,1035.2148,58.83218370000001,57.9803184,33.991273799999995,33.7382828,185.0,9.28086445,185.0,5.653720832,318.88978050000003
74771,2019-06-03 05:50:00+00:00,30.534906899999996,42.7664672,-1.059887102,-0.5060873379999999,-0.5060873379999999,0.0,68.688035,58.86043179999999,1287.70717,67.4013835,66.668194,35.003815,42.475,283.2,11.530815400000002,283.2,6.305289675,676.980425
1112,2019-11-18 15:10:00+00:00,26.63539011,46.15786325,-1.135783229,-0.501783864,-0.501783864,0.0,66.27312325,54.88235811,1418.933311,78.19954399999999,77.60513322,36.989059000000005,36.9609375,175.0,12.71621622,175.0,7.276723335,936.6365252999999
92494,2019-10-04 07:40:00+00:00,31.049638399999996,38.8357511,12.7433028,10.45873022,10.45873022,0.0,55.801047100000005,52.3481831,772.8481514,51.3377918,50.799735999999996,35.0102166,40.48125,178.5,6.943672843,178.5,3.406044835,18.09482129
78066,2019-06-26 03:00:00+00:00,29.0583102,50.3715901,0.490803775,0.8848969999999999,0.8848969999999999,0.0,77.2895764,64.8756049,1682.20312,100.2397284,99.8158446,40.241662700000006,41.9509648,336.2,15.0959889,336.2,8.2829746,1578.905115
76919,2019-06-18 03:50:00+00:00,29.883525300000002,47.09868529999999,-0.6062454420000001,-0.20474620100000002,-0.20474620100000002,0.0,72.3890256,61.16259470000001,1539.4324199999999,78.76878559999999,78.32076909999999,38.996185,40.9762286,120.0,13.807108800000002,120.0,7.461874665,1228.1784599999999
93534,2019-10-11 13:00:00+00:00,29.20229231,36.83036192,26.08834557,30.93323385,30.93323385,0.0,47.37295238,46.47476085,155.07332,44.47253308,44.19926969,37.996185,43.26693692,74.0,1.393250848,74.0,3.148456075,-5.933786356000001
96884,2019-11-03 19:20:00+00:00,26.660256099999998,41.3968819,-0.99732184,-0.51548743,-0.51548743,0.0,61.472898300000004,56.4451931,1097.93507,63.4246022,62.538259,36.1267315,35.837605700000005,188.0,9.8490242,188.0,6.005020921,401.3052347
80830,2019-07-15 07:40:00+00:00,33.4839733,50.160233700000006,0.44083309299999995,1.026058111,1.026058111,0.0,76.1143398,65.17421850000001,1512.58902,97.84648059999999,97.27527690000001,40.996185,46.98125,93.75,13.581626000000002,93.75,7.562359555,1118.2314470000001
96639,2019-11-02 02:30:00+00:00,25.95771411,38.14042656,39.72316097,39.72300868,39.72300868,0.0,53.59143089,51.83934367,80.04514711,49.943303,49.52130633,32.00709056,36.5826305,192.2,0.635002101,192.2,2.290652812,-5.209202218
