,Ambient Temperatue,BearingShaftTemperature,Blade1PitchAngle,Blade2PitchAngle,Blade3PitchAngle,ControlBoxTemperature,GearboxBearingTemperature,GearboxOilTemperature,GeneratorRPM,GeneratorWinding1Temperature,GeneratorWinding2Temperature,HubTemperature,MainBoxTemperature,NacellePosition,RotorRPM,WindDirection,WindSpeed,ActivePower
2019-11-10 21:50:00+00:00,25.47245078,40.88358613,0.127507014,0.611245791,0.611245791,0,62.19824288,55.29708733,1029.975333,58.62202367,57.68620222,36.003815,34.8539905,182,9.2459445,182,4.857741905,198.5232179
2019-11-10 22:00:00+00:00,25.41746013,40.86505917,0.034381571,0.517700788,0.517700788,0,62.21310267,55.2513305,1030.258975,58.42138288,57.48718638,36.003815,34.79464286,182,9.233392875,182,4.970052516,208.0658989
2019-11-10 22:10:00+00:00,25.4378075,40.8414806,0.079725432,0.563244606,0.563244606,0,62.1947844,55.1897447,1030.05732,58.2562268,57.3303062,36.003815,34.69420322,182,9.235372,182,4.939446912,204.7846265
2019-11-10 22:20:00+00:00,25.50639078,40.81589488,0.18363301,0.666999963,0.666999963,0,62.01627688,55.11842089,1029.8779,57.97035778,57.03500611,36.003815,34.65625,182,9.226673222,182,4.927073558,193.4347447
2019-11-10 22:30:00+00:00,25.4111909,40.796065,0.208250734,0.691819514,0.691819514,0,61.9799318,55.1113263,1029.94537,57.7902893,56.861953,36.003815,34.6,182,9.2460672,182,4.945199811,185.5881917
2019-11-10 22:40:00+00:00,25.32511544,40.74935871,0.656335017,1.140013481,1.140013481,0,61.36015171,54.929362,1030.262456,57.32744189,56.40069689,36.00352857,34.50892857,182,9.242724889,182,4.448952421,141.0967189
2019-11-10 22:50:00+00:00,25.165659,40.7096105,1.431245642,1.915539621,1.915539621,0,60.34358075,54.59988,1030.155089,56.72366444,55.80754333,35.99890375,34.40625,182,9.230164889,182,3.949436684,85.81449905
2019-11-10 23:00:00+00:00,25.0919791,40.6640511,1.670974495,2.154504774,2.154504774,0,59.3573853,54.2366833,1029.93583,56.0176466,55.1167841,35.996185,34.25,182,9.23649455,182,3.681941916,57.86972633
2019-11-10 23:10:00+00:00,25.08163513,40.6146635,1.696816574,2.179763942,2.179763942,0,58.2506095,53.73867375,1029.83145,55.30967688,54.42520775,35.996185,34.073185,182,9.236600875,182,3.458736732,29.09810111
2019-11-10 23:20:00+00:00,25.002539,40.57137913,1.695510137,2.178545426,2.178545426,0,57.69374113,53.40340911,1029.964311,54.73492211,53.86672867,35.99605963,33.9688225,182,9.235370444,182,3.483889311,32.37779942
2019-11-10 23:30:00+00:00,24.90220067,40.50599789,1.697197906,2.180578378,2.180578378,0,57.09808811,52.971315,1029.991911,54.12863667,53.26995967,35.99535889,33.79861111,182,9.243394333,182,3.680972056,43.511912
2019-11-10 23:40:00+00:00,24.96636256,40.45898363,1.646413721,2.130014279,2.130014279,0,57.07571088,52.82361278,1030.026,53.65898422,52.80836,35.9945285,33.63238975,175.3333333,9.238992667,175.3333333,3.971378768,71.21681389
2019-11-10 23:50:00+00:00,24.97588478,40.436484,1.604025279,2.0876058,2.0876058,0,56.9834065,52.65365278,1030.159989,53.29145933,52.45368011,35.99083425,33.53125,172,9.227834556,172,3.882215616,75.47534679
2019-11-11 00:00:00+00:00,24.9274773,40.4152311,1.697427089,2.1812337,2.1812337,0,56.5034359,52.4462423,1029.99899,52.8586772,52.0358814,35.991253,33.4125,,9.22848,,3.748120895,55.91613058
2019-11-11 00:10:00+00:00,24.88376856,40.38528588,1.670190637,2.153688232,2.153688232,0,56.35024263,52.25680422,1030.081344,52.45741589,51.647364,35.986427,33.359375,172,9.232173889,172,3.998310332,70.87769737
2019-11-11 00:20:00+00:00,24.8050295,40.35295264,1.442792983,1.92637235,1.92637235,0,56.484202,52.15133225,1029.924908,52.207039,51.401853,35.98170573,33.27027858,172,9.231426083,172,4.040955328,87.85652522
2019-11-11 00:30:00+00:00,24.67164222,40.310836,1.593626778,2.076545839,2.076545839,0,56.49055367,52.06144083,1030.090989,52.01251461,51.20406761,35.9730565,33.20695831,172,9.238405111,172,4.073588722,79.24863689
2019-11-11 00:40:00+00:00,24.6037167,40.25791767,1.326864853,1.809877568,1.809877568,0,56.59213211,52.0189729,1029.96434,51.7685989,50.9712103,35.97755167,33.11135478,172,9.2426301,172,4.217599826,97.24416211
2019-11-11 00:50:00+00:00,24.57695122,40.22194288,1.360394839,1.844024611,1.844024611,0,56.552884,51.94431211,1030.127556,51.516129,50.73477089,35.83874075,33.03789125,163,9.234048667,163,4.088310922,94.94357583
2019-11-11 01:00:00+00:00,24.6093637,40.2108432,0.900925277,1.38480227,1.38480227,0,56.8671471,51.9187515,1030.04017,51.2866192,50.5263157,35.0422533,32.9687824,163,9.23959135,163,4.339326126,127.7711394
2019-11-11 01:10:00+00:00,24.70233044,40.19057988,0.307194236,0.790813392,0.790813392,0,58.30761275,52.09295633,1029.9911,51.32956144,50.57609433,35.0158135,32.921396,162,9.2342515,162,4.923883089,179.2646522
2019-11-11 01:20:00+00:00,24.71499425,40.195795,-0.292179285,0.192049406,0.192049406,0,59.12437871,52.4016665,1030.234888,51.76074525,51.01034913,35.01747771,32.97321429,160,9.23429125,160,5.079652405,244.7204358
2019-11-11 01:30:00+00:00,24.79249725,40.19844775,-0.190951499,0.292103916,0.292103916,0,59.46936238,52.68810875,1029.8119,52.184133,51.4411705,35.02203037,33.0966975,160,9.242792125,160,4.9086103,232.9205837
2019-11-11 01:40:00+00:00,24.8624363,40.19292256,-0.090650912,0.393830126,0.393830126,0,59.60543422,52.7979945,1030.49164,52.3445194,51.6053863,35.01484289,33.30554967,160,9.23446705,160,4.747427583,221.1304633
2019-11-11 01:50:00+00:00,24.87829422,40.16538025,0.604909631,1.087472627,1.087472627,0,59.11692813,52.82227044,1030.080922,52.14929567,51.41542633,35.00810675,33.4609265,160,9.234749833,160,4.203962984,147.1633363
2019-11-11 02:00:00+00:00,24.9311323,40.1226045,0.880082785,1.363904477,1.363904477,0,58.403147,52.7651062,1029.97613,51.7447969,51.0207602,35.0087267,33.562704,160,9.2330707,160,4.326999895,125.5683694
